major group,kingdom,subkingdom,infrakingdom,superphylum,phylum,subphylum,infraphylum,superclass,class,subclass,infraclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,supergenus,genus,subgenus,species name,subspecies name,Accepted as,picture
phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta ,Khakista,-,-,Bacillariophyceae,Coscinodiscophycidae,-,Coscinodiscanae,Coscinodiscales,-,-,-,Gossleriellaceae,-,-,Gossleriella,-,Gossleriella tropica,-,-,-
phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta ,Khakista,-,-,Bacillariophyceae,Coscinodiscophycidae,-,Coscinodiscanae,Coscinodiscales,-,-,-,Gossleriellaceae,-,-,Gossleriella,-,Gossleriella sp.,-,-,-
phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta ,Khakista,-,-,Bacillariophyceae,Coscinodiscophycidae,-,Coscinodiscanae,Coscinodiscales,-,-,-,Heliopeltaceae ,-,-,Actinoptychus,-,Actinoptychus sp.1,-,-,-
phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta ,Khakista,-,-,Bacillariophyceae,Coscinodiscophycidae,-,Coscinodiscanae,Coscinodiscales,-,-,-,Heliopeltaceae ,-,-,Actinoptychus,-,Actinoptychus sp.2,-,-,-
phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta ,Khakista,-,-,Bacillariophyceae,Coscinodiscophycidae,-,Coscinodiscanae,Coscinodiscales,-,-,-,Heliopeltaceae ,-,-,Actinoptychus,-,Actinoptychus sp.3,-,-,-
phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta ,Khakista,-,-,Bacillariophyceae,Coscinodiscophycidae,-,Coscinodiscanae,Coscinodiscales,-,-,-,Hemidiscaceae,-,-,Hemidiscus,-,Hemidiscus cuneiformis,-,-,-
phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta ,Khakista,-,-,Bacillariophyceae,Coscinodiscophycidae,-,Coscinodiscanae,Coscinodiscales,-,-,-,Hemidiscaceae,-,-,Hemidiscus,-,Hemidiscus sp.,-,-,-
phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta ,Khakista,-,-,Bacillariophyceae,Coscinodiscophycidae,-,Coscinodiscanae,Coscinodiscales,-,-,-,Hemidiscaceae,-,-,Pseudoguinardia,-,Pseudoguinardia recta,-,-,-
phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta ,Khakista,-,-,Bacillariophyceae,Coscinodiscophycidae,-,Cymatosirophycanae,Cymatosirales ,-,-,-,Cymatosiraceae,-,-,Cymatosira,-,Cymatosira sp.1,-,-,-
phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta ,Khakista,-,-,Bacillariophyceae,Bacillariophycidae,-,Bacillariophycanae,Cymbellales,-,-,-,Cymbellaceae,-,-,Cymbella,-,Cymbella sp.,-,-,-
phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta ,Khakista,-,-,Bacillariophyceae,Fragilariophycidae,-,Fragilariophycanae,Fragilariales,-,-,-,Fragilariaceae,-,-,Asterionellopsis,-,Asterionellopsis glacialis ,-,-,-
